Species,Brain Mass,Order,Beta,Alpha,GI,
Marmoset,8,Primates,,,1.18,"Measured GI = 1.18 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
Meerkat,10,Other,,,1.35,"Measured GI = 1.35 from Lewitus et al. (2014), DOI:10.1371/journal.pbio.1002000"
Merion,2,Rodentia,0.07,1.000269898,1.05,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.00, β=0.07. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
MiniopterusSchreibersii,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Mongoose,15,Carnivora,0.1,1.087169496,1.425300325,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Mouse,0.4,Rodentia,,,1.03,"Measured GI = 1.03 from Lyras et al. (2016), DOI:10.1159/000453104"
MyotisEmargenitus,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
MyotisMyotis,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
MyotisVivesi,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Nasua,30,Other,,,1.62,"Measured GI = 1.62 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
Onager,300,Perissodactyla,0.12,0.9746330733,1.932394066,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=0.97, β=0.12. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Orangutan,370,Other,,,2.31,"Measured GI = 2.31 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
Oryx,200,Artiodactyla,0.11,1.24179071,2.224137877,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Otter,35,Carnivora,0.1,1.087169496,1.551329541,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
PalmSquirrel,5,Other,0.1,1.087169496,1.277009884,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Pecari,50,Artiodactyla,0.11,1.24179071,1.909567907,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Pkuhlii,0.5,Other,0.1,1.087169496,1.014365007,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Porcine,150,Artiodactyla,,,1.9,"Measured GI = 1.90 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
Porcupine,20,Other,0.1,1.087169496,1.466899153,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
PrairieDog,10,Other,0.1,1.087169496,1.368665305,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
PteropusLylei,5,Chiroptera,0.08,1.206987049,1.372840904,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Rabbit,10,Other,,,1.1,"Measured GI = 1.10 from Lyras et al. (2016), DOI:10.1159/000453104"
Rat,2,Rodentia,,,1.05,"Measured GI = 1.05 from Lyras et al. (2016), DOI:10.1159/000453104"
RedKangaroo,60,Other,,,1.03,"Measured GI = 1.03 from Lyras et al. (2016), DOI:10.1159/000453104"
RedNeckWallaby,50,Other,0.1,1.087169496,1.607660194,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
RedPanda,25,Other,,,1.51,"Measured GI = 1.51 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
Rhinolophus,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
